dataset,column,non_null,nulls,null_pct,unique,numeric_non_null,key_like,recommended_action,reason,sample
bcn_licencias_limpio.csv,sn_mixtura,44000,0,0.0,2,0,False,conservar,Nulidad manejable o columna relevante.,No | No | No
bcn_licencias_limpio.csv,sn_obert24h,44000,0,0.0,2,0,False,conservar,Nulidad manejable o columna relevante.,No | No | No
bcn_licencias_limpio.csv,sn_oci_nocturn,44000,0,0.0,2,0,False,conservar,Nulidad manejable o columna relevante.,No | No | No
bcn_licencias_limpio.csv,sn_servei_degustacio,44000,0,0.0,2,0,False,conservar,Nulidad manejable o columna relevante.,No | No | No
bcn_licencias_limpio.csv,solar,43998,2,0.0,25562,43998,False,conservar,Nulidad manejable o columna relevante.,115760.0 | 124307.0 | 87046.0
bcn_licencias_limpio.csv,variable_iseu,44000,0,0.0,1,0,True,conservar,Nulidad manejable o columna relevante.,Licencias comerciales | Licencias comerciales | Licencias comerciales
bcn_licencias_limpio.csv,x_utm_etrs89,44000,0,0.0,43756,44000,True,conservar,Nulidad manejable o columna relevante.,428176.942 | 432181.485 | 428980.535
bcn_licencias_limpio.csv,y_utm_etrs89,44000,0,0.0,43745,44000,True,conservar,Nulidad manejable o columna relevante.,4580437.121 | 4584756.976 | 4583622.265
bcn_movilidad_limpio.csv,bikesinusage,8055,0,0.0,743,8055,False,conservar,Nulidad manejable o columna relevante.,50 | 47 | 50
bcn_movilidad_limpio.csv,dataset_key,8055,0,0.0,1,0,True,conservar,Nulidad manejable o columna relevante.,bcn_movilidad | bcn_movilidad | bcn_movilidad
bcn_movilidad_limpio.csv,datetime,8055,0,0.0,8055,0,False,conservar,Nulidad manejable o columna relevante.,2019-01-01T00:00:11 | 2019-01-01T00:05:12 | 2019-01-01T00:10:12
bcn_movilidad_limpio.csv,electricalbikesinusage,8055,0,0.0,23,8055,False,conservar,Nulidad manejable o columna relevante.,0 | 0 | 0
bcn_movilidad_limpio.csv,error,8055,0,0.0,1,8055,False,conservar,Nulidad manejable o columna relevante.,0 | 0 | 0
bcn_movilidad_limpio.csv,extraido_en,8055,0,0.0,1,0,True,conservar,Nulidad manejable o columna relevante.,2026-05-14T00:49:25 | 2026-05-14T00:49:25 | 2026-05-14T00:49:25
bcn_movilidad_limpio.csv,id,8055,0,0.0,8055,8055,True,conservar,Nulidad manejable o columna relevante.,1 | 2 | 3
bcn_movilidad_limpio.csv,mechanicalbikesinusage,8055,0,0.0,744,8055,False,conservar,Nulidad manejable o columna relevante.,50 | 47 | 50
bcn_movilidad_limpio.csv,variable_iseu,8055,0,0.0,1,0,True,conservar,Nulidad manejable o columna relevante.,Movilidad urbana | Movilidad urbana | Movilidad urbana
bcn_poblacion_limpio.csv,aeb,2136,0,0.0,233,2136,False,conservar,Nulidad manejable o columna relevante.,1 | 1 | 1
bcn_poblacion_limpio.csv,codi_barri,2136,0,0.0,73,2136,True,conservar,Nulidad manejable o columna relevante.,1 | 1 | 1
bcn_poblacion_limpio.csv,codi_districte,2136,0,0.0,10,2136,True,conservar,Nulidad manejable o columna relevante.,1 | 1 | 1
bcn_poblacion_limpio.csv,data_referencia,2136,0,0.0,1,0,True,conservar,Nulidad manejable o columna relevante.,2025-01-01T00:00:00 | 2025-01-01T00:00:00 | 2025-01-01T00:00:00
