dataset,column,dtype,non_null,nulls,null_pct,unique,numeric_non_null,sample
bcn_turismo_limpio.csv,values_id,float64,444,2,0.0045,444,444,139374.0 | 148679.0 | 139753.0
bcn_turismo_limpio.csv,addresses_neighborhood_name,str,446,0,0.0,45,0,les Corts | la Dreta de l'Eixample | el Putxet i el Farró
bcn_turismo_limpio.csv,values_outstanding,object,444,2,0.0045,2,444,True | True | True
bcn_turismo_limpio.csv,values_attribute_id,float64,444,2,0.0045,6,444,20003.0 | 20003.0 | 20003.0
bcn_turismo_limpio.csv,variable_iseu,str,446,0,0.0,1,0,Turismo (nº visitantes) | Turismo (nº visitantes) | Turismo (nº visitantes)
bcn_turismo_limpio.csv,dataset_key,str,446,0,0.0,1,0,bcn_turismo | bcn_turismo | bcn_turismo
bcn_turismo_limpio.csv,extraido_en,str,446,0,0.0,1,0,2026-05-14T00:49:19 | 2026-05-14T00:49:19 | 2026-05-14T00:49:19
bcn_zonas_verdes_limpio.csv,codi,str,33389,0,0.0,33389,0,0000024AR | 0000025AR | 0000028AR
bcn_zonas_verdes_limpio.csv,x_etrs89,float64,33389,0,0.0,33081,33389,430266.32 | 430270.562 | 430278.453
bcn_zonas_verdes_limpio.csv,y_etrs89,float64,33389,0,0.0,33097,33389,4587634.31 | 4587637.998 | 4587643.703
bcn_zonas_verdes_limpio.csv,latitud,float64,33389,0,0.0,32205,33389,41.437253 | 41.4372866 | 41.4373386
bcn_zonas_verdes_limpio.csv,longitud,float64,33389,0,0.0,32528,33389,2.1653025 | 2.1653528 | 2.1654466
bcn_zonas_verdes_limpio.csv,tipus_element,str,33389,0,0.0,2,0,ARBRE PARC | ARBRE PARC | ARBRE PARC
bcn_zonas_verdes_limpio.csv,espai_verd,str,33087,302,0.009,154,0,"Central de Nou Barris, Parc | Central de Nou Barris, Parc | Central de Nou Barris, Parc"
bcn_zonas_verdes_limpio.csv,adreca,str,33389,0,0.0,605,0,"Pg Fabra i Puig, 450 | Pg Fabra i Puig, 450 | Pg Fabra i Puig, 450"
bcn_zonas_verdes_limpio.csv,cat_especie_id,int64,33389,0,0.0,383,33389,152 | 2336 | 2336
